Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Jodi Glickman on Pitching Yourself (2018),"Pitching is a universal skill. The time will come when you need to pitch an idea, a project, or even yourself. But you may stumble when the moment strikes—if you don't have a quick and effective process to nail the pitch. In this free course, thought leader Jodi Glickman shares her go-to approach for selling your ideas, your story, and yourself. Learn three easy steps to a successful pitch: destination, backstory, and connecting the dots.",Course,2018-11-15 03:34 UTC,N/A,false,N/A,
Smart Cities: Solving Urban Problems Using Technology,"Cities are changing rapidly—growing in size and density, creating more waste, and using more resources. To solve the problems these pressures create, city governments need to think different. Enter smart cities—cities that use 21st century thinking and technology to enable a better quality of life for their citizens. Hosted by Jonathan Reichental (named one of the world's top 100 CIOs in 2017), this short documentary profiles the City of Palo Alto, California. There forward-thinking officials are coming up with creative solutions to problems like traffic and air pollution—and opening up their doors and their data so that community members can get involved. Learn how sensors that bridge the physical and digital worlds and open-data policies are making government more agile and more innovative. Plus, find out how smart cities' technology investments will power a new job market for technical and creative professionals who want to do meaningful work for their communities.",Course,2019-03-06 07:12 UTC,N/A,false,N/A,
Nano Tips to Project Confidence and Executive Presence with Shadé Zahrai,"<p>Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, behavioral strategist and global peak performance consultant to Fortune 500 companies Shadé Zahrai shows you frameworks that will support you in building genuine connections, speaking with precision, and maintaining poise. Learn ways to project confidence in your communication, refine your presence using concise messages, and reinforce your credibility through a confident posture. Plus, learn to amplify your influence with  a positive presence, asking thoughtful questions, and communicating with credibility.</p>

<p>This course was created by Shadé Zahrai. We are pleased to host this training in our library.</p>",Course,2025-10-26 06:38 UTC,N/A,false,N/A,
Customer Service: Call Control Strategies,"Customer service calls can sometimes get out of control. Upset and overtalkative callers take time and energy away from other customers and tasks. This is where practical call-control strategies come into play. Join customer service trainer Myra Golden as she explains the reasons customer calls get out of hand, and introduces simple strategies to get you back in control. Learn how use a limited response, take control with close-ended questions, assert your way out of a bad conversation, and practice proactive call management so customers feel heard. You’ll leave the course with a variety of actionable tips to turn long, problematic phone calls into polite and efficient interactions.",Course,2022-07-07 02:16 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2022-11-11 01:04 UTC,N/A,false,N/A,
Sramana Mitra on Bootstrapping,"Want to start your own business? Bootstrap it! LinkedIn Influencer Sramana Mitra, an expert on entrepreneurship, shares her insights on how to start a new business without any external financing. Bootstrapping can be a way to quickly validate and launch a company, and get the traction you need to attract serious investors (or you can bootstrap all the way). Sramana dismisses some of the myths that get in the way of new entrepreneurs, and then turns the focus on to the benefits of bootstrapping. She walks through two methods of bootstrapping that can be particularly valuable: selling services and developing a business while holding down a full-time job.",Course,2018-09-21 02:30 UTC,N/A,false,N/A,
Beyond Vibe Coding with Google Gemini: Become a Deliberate Developer,"This course is designed to elevate your development skills by transforming Google Gemini into an intelligent coding partner. Join instructor Laurence Moroney as he shows you how to move past superficial coding habits so you can leverage Gemini for strategic prompting, insightful AI-assisted code reviews, and test-driven development. Learn how to use Gemini for advanced debugging, accelerating your learning of new technologies, and even brainstorming initial system designs and more effective design patterns. By the end of this course, you’ll be prepared to become a more deliberate, skilled, and thoughtful software engineer by using AI to enhance your understanding and the quality of your work.",Course,2025-12-22 06:51 UTC,N/A,false,N/A,
Practice Exam 4 for Cisco Certified Network Associate (CCNA) v1.1 (200-301),"<p>This practice exam is intended to help you prepare for the <b>Cisco Certified Network Associate (CCNA) v1.1 </b> certification exam. After you launch the practice exam, there are three practice modes available; timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p>

<p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>

<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-1-for-cisco-certified-network-associate-ccna-200-301"" target=""_blank""> Practice Exam 1 for Cisco Certified Network Associate (CCNA)(200-301)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-2-for-cisco-certified-network-associate-ccna-200-301"" target=""_blank""> Practice Exam 2 for Cisco Certified Network Associate (CCNA)(200-301)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-3-for-cisco-certified-network-associate-ccna-200-301"" target=""_blank""> Practice Exam 3 for Cisco Certified Network Associate (CCNA)(200-301)</a></li>
</ul>

<p><b>About the certification</b>: To learn more about this certification, visit <a href=""https://www.cisco.com/c/en/us/training-events/training-certifications/certifications/associate/ccna.html"" target=""_blank""><b>Cisco Certified Network Associate (CCNA)</b></a>.</p>

<p>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</p>",Course,2024-10-11 19:24 UTC,N/A,false,N/A,
How to Find Fulfillment in Your Work with Job Crafting,"<p>Everyone wants a fulfilling career. Job crafting is an evidence-based approach to help you do just that. In this transformative course, renowned organizational psychologist, executive coach, and culture change consultant Erin Shrimpton offers valuable insights on how to reshape your experience of work, redefine tasks to make them more meaningful, and tap into your flow state for enhanced productivity. Learn how to harness the power of human connection to elevate your sense of fulfillment and foster a stronger sense of belonging within your organization. Explore ways to unleash your potential and craft a personalized routine that aligns with your unique strengths and aspirations. It's time to revolutionize your approach to work and unlock a truly fulfilling career.</p>

<p>This course was created by CRFT Productions and Erin Shrimpton. We are pleased to host this training in our library.</p>",Course,2025-04-08 21:52 UTC,N/A,false,N/A,
Career Advice from Some of the Biggest Names in Business,"What if you could get career advice from the world's most influential thinkers, leaders, and innovators? People who have run the top companies, created the most beloved brands, transformed industries, and changed the world? Now you can. This course brings together the best insights from our collection of interviews with LinkedIn Influencers. CEOs such as Richard Branson, Bill Gates, Indra Nooyi, and Meg Whitman reveal what it takes to get your foot in the door and then work your way up. Discover why Starbucks founder Howard Schultz thinks that conviction is so critical, how Oprah found her vision, and what actress Priyanka Chopra does to find the next challenge. Each interview provides short and thoughtful tips you can use to propel your own career in the right direction.",Course,2022-10-21 18:49 UTC,N/A,false,N/A,
Metaverse and NFTs for Marketing,"Have you tried to imagine where the internet is headed? While it may be dizzying to think about, the metaverse is poised to play a fundamental role in this technology journey. But what, exactly, is the metaverse? How will it reshape traditional marketing campaigns? And what can you do now to better prepare for the big impact it will have on your world?<br><br>Join metaverse expert Cathy Hackl in this audio-only course on the key aspects of the metaverse for marketing. Learn about the metaverse ecosystem and Web 3.0, as well as the increasing importance of emerging technologies like blockchain and non-fungible tokens (NFTs). Cathy shares concrete tips on how to position yourself for marketing opportunities in this ever-evolving landscape. Explore key strategies today to promote strong growth tomorrow—like how to drive virtual brand development by minting your own NFTs, how to tap into the power of augmented reality, and how to leverage avatars to reach a wider audience.",Course,2022-05-18 04:07 UTC,N/A,false,N/A,
JavaScript: Recursion,"Recursion, in which functions call themselves, is a foundational structure for algorithms. If you find it hard to break a technical problem down into its simplest form, learning recursion may be just what you need. In this course, software engineer Mustapha Rufai provides a detailed guide to understanding recursion using JavaScript, exploring common use cases and detailing ways to approach these kinds of algorithmic challenges. Mustapha teaches you how to think recursively, and safely make JavaScript use this classic pattern. He then moves to showing you how to improve the performance of recursive algorithms, and presents a series of recursive technical interview questions along with his solutions.",Course,2023-09-29 17:43 UTC,N/A,false,N/A,
