"Company","Category","Contact Type","Relevance to FINORI","Priority","Outreach Angle","Notes"
"CFSB","Partner Bank","Partnership","Cross-border payments experience, 'personal approach', 20+ year track record","High","'We prepare foreign fintechs to be bank-ready — your cross-border experience + our compliance prep = natural fit'","Priority #1 - established, global experience"
"Evolve Bank & Trust","Partner Bank","Partnership","100-year bank with active BaaS/Open Banking division. ISOs, Aggregators, TPPs.","High","'Post-Synapse, banks need compliant fintechs. We deliver foreign fintechs who are evidence-ready.'","Verify current risk appetite post-Synapse"
"Cross River","Partner Bank","Partnership","Leading sponsor bank, appetite for innovation, crypto-friendly","High","'We help foreign fintechs meet your compliance standards before they reach you'","Under enhanced oversight but still active"
"Pathward","Partner Bank","Partnership","National bank, 'Financial Inclusion for All' mission","High","'Financial inclusion includes global fintechs — we help them enter US market properly'","Mission alignment potential"
"Braid","Platform Partner","Partnership","Bank enablement platform, 'Not BaaS' positioning aligns with FINORI philosophy","High","'You enable banks, we prepare fintechs — together we complete the circuit'","Complementary not competitive"
"Alloy","Compliance Partner","Partnership","700+ FI customers, 200+ data partners, global KYC/KYB network","High","'Your global data network is essential for verifying foreign fintech owners and entities'","Essential KYC/KYB partner"
"Middesk","Compliance Partner","Partnership","Business verification, direct gov connections, 50 state SOS","High","'Foreign fintechs need US subsidiary verification — your direct gov connections are critical'","Natural KYB workflow partner"
"Sardine","Compliance Partner","Partnership/Evaluate","Sponsor Bank OS for bank oversight, device intelligence","Medium","'Your Sponsor Bank OS + our fintech prep = banks get compliant programs from day one'","Evaluate partnership vs competition"
"Hummingbird","Compliance Partner","Partnership","Case management, SAR filing, compliance ops automation","Medium","'Ongoing compliance ops after bank relationship established'","Operational tooling"
"Modern Treasury","Payment Partner","Partnership","Payment APIs, multi-bank integrations, $300B+ processed","Medium","'Payment infrastructure layer for FINORI-prepared fintechs'","Payment ops partner"
"Lithic","Card Issuing Partner","Partnership","Developer-first card issuing, processor-agnostic","Medium","'Card program capability for fintechs we prepare'","Bundle with FINORI offering"
"Nium","Payment Partner","Partnership","190+ countries, real-time global payments, $2.1B valuation","Medium","'Cross-border payment capability for foreign fintechs targeting diaspora'","Global payments partner"
"Column","Partner Bank","DECLINED","Nationally chartered platform bank — already declined FINORI","Low","N/A — Do not pursue","Already rejected"
"Synctera","Competitor","Monitor","Full BaaS platform, strong compliance positioning","Low","N/A — Competitive intelligence only","Watch for foreign fintech messaging"
"Treasury Prime","Competitor","Monitor","'Bank Direct' positioning, KeyBank partnership","Low","N/A — Competitive intelligence only","Watch post-Synapse messaging"
"Unit","Competitor","Monitor","'Ready-to-Launch' speed claims","Low","N/A — Competitive intelligence only","Watch for realistic timeline messaging"
"Bond","Competitor/Partner","Evaluate","Credit/card focus, Goldman-backed","Medium","'Credit programs for fintechs we prepare — potential referral relationship'","Evaluate credit partnership"
"Stripe Treasury","Competitor","Monitor","Part of Stripe ecosystem, Fifth Third partnership","Low","N/A — Different target (Connect platforms)","Watch for expansion moves"
